id_planeador;Cliente;Gestor;DC;PR;PD;FB;MT;OC;CE;Descripcion;Fecha_solicitud;Prioridad;Dificultad;Progreso;FL;Fecha_Estimada;Fecha_Entrega;Observaciones;Revision;Estado;Referencia
0001;0048;DSC;N;Y;Y;Y;N;N;N;--;01/11/2011 12:00;M;7;100;N;0000-00-00 00:00:00;11/11/2011 12:00;;;A;
0002;0038;NGM;Y;Y;Y;Y;N;N;N;--;01/11/2011 12:00;M;6;100;N;0000-00-00 00:00:00;10/12/2011 12:00;;;A;D-2173-11
0003;0053;DSC;N;Y;Y;N;N;N;N;--;01/12/2011 12:00;M;4;100;N;0000-00-00 00:00:00;14/12/2011 12:00;;;A;
0004;0086;NGM;N;Y;Y;N;N;N;N;--;01/12/2011 12:00;M;5;25;N;0000-00-00 00:00:00;03/12/2011 12:00;;;R;
0005;0045;DSC;N;Y;Y;Y;N;N;N;--;15/12/2011 12:00;M;3;100;N;0000-00-00 00:00:00;20/12/2011 12:00;;;A;D-2992-11
0006;0025;AGM;Y;Y;Y;Y;Y;N;Y;Banda alimentadora para equipos THOR;22/12/2011 12:00;MA;6;100;N;0000-00-00 00:00:00;10/02/2012 12:00;;;A;D-2995-11
0007;0035;FAP;N;Y;N;N;N;N;N;Estaciones de carga, impacto, retorno, auto alineantes.;21/12/2011 12:00;B;2;100;N;0000-00-00 00:00:00;22/12/2011 12:00;;;A;D-2991-11
0008;0070;JMR;N;N;Y;N;N;N;N;Calculo de potencias para bandas transportadoras del proyecto Pacific Iron;23/11/2011 12:00;MA;6;100;Y;24/12/2011 12:00;24/12/2011 12:00;Se hacen dos nuevas revisiones a las potencias debido a cambios realizados por el cliente.;;A;
0009;0035;FAP;N;Y;N;N;N;N;N;Estaciones de carga, impacto, retorno, auto alineantes.;26/12/2011 12:00;MB;2;10;N;0000-00-00 00:00:00;28/12/2011 12:00;;;C;
0010;0020;FAP;N;N;Y;N;N;N;N;Calculo de potencias para banda transportadora. 70 tph, 30 m.;27/12/2011 12:00;M;3;100;N;0000-00-00 00:00:00;27/12/2011 12:00;;;C;
0011;0001;FAP;N;Y;Y;Y;N;N;N;Banda transportadora 1750 m;26/12/2011 12:00;M;2;10;N;0000-00-00 00:00:00;28/12/2011 12:00;;;C;
0013;0080;FAP;N;Y;Y;Y;Y;N;N;Bandas transportadoras de acuerdo a especificaciones, tolvas de transferencia, y chutes de sobretamaños.;28/12/2011 12:00;MA;7;100;N;0000-00-00 00:00:00;02/01/2012 12:00;;;A;D-3002-12
