id_referencia;Proyecto;equipo
1;0001;E010
2;0002;E010
3;0002;E026
4;0003;E031
5;0004;E010
6;0005;E010
7;0006;E003
8;0007;E008
9;0008;E003
10;0009;E008
11;0010;E003
12;0011;E003
13;0013;E003
14;0013;E030
15;0013;E030
16;0014;E008
17;0015;E014
18;0016;E017
19;0017;E014
20;0018;E014
21;0019;E033
22;0020;E031
23;0020;E033
24;0021;E010
25;0021;E031
26;0022;E033
27;0023;E004
28;0024;E015
29;0025;E005
30;0026;E031
31;0027;E014
32;0028;E003
33;0029;E010
34;0030;E003
35;0031;E031
36;0032;E031
37;0033;E008
38;0034;E031
39;0035;E003
40;0036;E031
41;0037;E031
42;0038;E003
43;0038;E010
44;0038;E031
45;0039;E027
46;0040;E003
47;0041;E003
48;0042;E003
49;0043;E003
50;0043;E032
51;0043;E030
52;0044;E003
53;0044;E031
54;0045;E017
55;0046;E021
56;0047;E008
57;0048;E003
58;0049;E014
59;0050;E003
60;0051;E014
61;0052;E003
62;0053;E003
63;0054;E008
64;0055;E014
65;0056;E008
66;0057;E008
67;0058;E008
68;0059;E008
69;0060;E003
70;0061;E031
71;0062;E031
72;0063;E017
73;0064;E008
74;0065;E003
75;0066;E008
76;0067;E010
77;0068;E008
78;0069;E003
79;0069;E010
80;0070;E008
81;0071;E008
82;0072;E031
83;0073;E031
84;0074;E003
85;0074;E010
86;0075;E017
87;0076;E031
88;0077;E003
89;0077;E010
90;0077;E031
91;0078;E014
92;0079;E014
93;0080;E008
94;0081;E008
95;0082;E031
96;0083;E008
97;0084;E008
98;0084;E033
99;0085;E003
100;0086;E033
101;0087;E031
102;0088;E031
103;0089;E008
104;0090;E003
105;0091;E008
106;0092;E003
107;0093;E003
108;0094;E008
109;0095;E008
110;0096;E010
111;0097;E008
112;0098;E031
113;0099;E003
114;0100;E034
115;0101;E008
116;0102;E016
117;0103;E007
118;0104;E003
119;0105;E003
120;0106;E010
121;0107;E027
122;0108;E008
123;0109;E031
124;0110;E003
125;0111;E007
126;0112;E008
127;0113;E008
128;0114;E008
129;0115;E014
130;0116;E031
131;0117;E014
132;0118;E031
133;0119;E008
134;0120;E010
135;0121;E003
136;0122;E014
137;0123;E017
138;0124;E008
139;0125;E031
140;0126;E014
141;0127;E024
142;0128;E008
143;0129;E030
144;0130;E008
145;0131;E003
146;0132;E014
147;0133;E003
