id_equipos;Nombre_de_Equipos
E001;Artesas de carga
E002;Artesas de Impacto
E003;Banda transportadora
E004;Bujes
E005;Caucho
E006;Cinta transportadora
E007;Componentes  para trituradora
E008;Componentes para  Banda
E009;Cubiertas para Banda
E010;Elevador de cangilones
E011;Estaciones para banda
E012;Estaciones autoalineantes
E013;Estructura para Banda
E014;Otros
E015;Mallas
E016;Componentes para molino
E017;Mesa de rodillos
E018;Molino Impactor
E019;Motor
E020;Motoreductor
E021;Pantalla de impacto
E022;Porticos
E023;Raspadores para banda
E024;Rejillas
E025;Rodillos
E026;Silo
E027;Tambor secador
E028;Tambores de Cabeza
E029;Tambores de Cola
E030;Tolva
E031;Tornillo transportador
E032;Trituradora
E033;Zaranda
E034;Linatex
