id_planeador;Cliente;Gestor;DC;PR;PD;FB;MT;OC;CE;Descripcion;Fecha_solicitud;Prioridad;Dificultad;Progreso;FL;Fecha_Estimada;Fecha_Entrega;Observaciones;Revision;Estado;Referencia
P0001;HLC;DSC;N;Y;Y;Y;N;N;N;--;2011-11-01 12:00:00;M;7;100;N;0000-00-00 00:00:00;2011-11-11 12:00:00;;;A;
P0002;Ecopetrol;NGM;Y;Y;Y;Y;N;N;N;--;2011-11-01 12:00:00;M;6;100;N;0000-00-00 00:00:00;2011-12-10 12:00:00;;;A;D-2173-11
P0003;Inder;DSC;N;Y;Y;N;N;N;N;--;2011-12-01 12:00:00;M;4;100;N;0000-00-00 00:00:00;2011-12-14 12:00:00;;;A;
P0004;Tecnintegral;NGM;N;Y;Y;N;N;N;N;--;2011-12-01 12:00:00;M;5;25;N;0000-00-00 00:00:00;2011-12-03 12:00:00;;;R;
P0005;Gyplac;DSC;N;Y;Y;Y;N;N;N;--;2011-12-15 12:00:00;M;3;100;N;0000-00-00 00:00:00;2011-12-20 12:00:00;;;A;D-2992-11
P0006;CNR;AGM;Y;Y;Y;Y;Y;N;Y;Banda alimentadora para equipos THOR;2011-12-22 12:00:00;MA;6;100;N;0000-00-00 00:00:00;2012-02-10 12:00:00;;;A;D-2995-11
P0007;Dicomo Ingeniería Ltda;FAP;N;Y;N;N;N;N;N;Estaciones de carga, impacto, retorno, auto alineantes.;2011-12-21 12:00:00;B;2;100;N;0000-00-00 00:00:00;2011-12-22 12:00:00;;;A;D-2991-11
P0008;Pacific Iron;JMR;N;N;Y;N;N;N;N;Calculo de potencias para bandas transportadoras del proyecto Pacific Iron;2011-11-23 12:00:00;MA;6;100;Y;2011-12-24 12:00:00;2011-12-24 12:00:00;Se hacen dos nuevas revisiones a las potencias debido a cambios realizados por el cliente.;;A;
P0009;Dicomo Ingeniería Ltda;FAP;N;Y;N;N;N;N;N;Estaciones de carga, impacto, retorno, auto alineantes.;2011-12-26 12:00:00;MB;2;10;N;0000-00-00 00:00:00;2011-12-28 12:00:00;;;C;
P0010;CemexBucaramanga;FAP;N;N;Y;N;N;N;N;Calculo de potencias para banda transportadora. 70 tph, 30 m.;2011-12-27 12:00:00;M;3;100;N;0000-00-00 00:00:00;2011-12-27 12:00:00;;;C;
P0011;--;FAP;N;Y;Y;Y;N;N;N;Banda transportadora 1750 m;2011-12-26 12:00:00;M;2;10;N;0000-00-00 00:00:00;2011-12-28 12:00:00;;;C;
P0012;Salgano Meléndez y Asociados;FAP;N;Y;Y;Y;Y;N;N;Bandas transportadoras de acuerdo a especificaciones, tolvas de transferencia, y chutes de sobretamaños.;2011-12-28 12:00:00;MA;7;100;N;0000-00-00 00:00:00;2012-01-02 12:00:00;;;A;D-3002-12
P0013;Sime Ingenieros;FAP;N;Y;N;N;N;N;N;Rodillos CEMA B.;2011-12-30 12:00:00;B;2;100;N;0000-00-00 00:00:00;2012-01-03 12:00:00;;;A;D-3004-12
P0014;Universidad Nacional;DSC;N;Y;N;Y;Y;N;N;Secador solar de acuerdo a indicaciones de planos.;2012-01-02 12:00:00;M;4;100;N;0000-00-00 00:00:00;2012-01-13 12:00:00;;;A;D-3012-12
P0015;High Class Corporation;DSC;N;Y;Y;Y;N;N;N;Fabricación de cama de rodillos para muebles.;2012-01-06 12:00:00;B;4;100;N;0000-00-00 00:00:00;2012-01-09 12:00:00;Se transfiere el presupuesto al gestor comercial;;C;D-3025-12
P0016;Cerrejón;AGM;Y;Y;N;N;Y;N;N;Prestación de servicios en mantenimiento de estaciones, raspadores primarios y secundarios.;2012-01-06 12:00:00;MA;10;100;N;0000-00-00 00:00:00;2012-01-25 12:00:00;Solo se envión información de personal y financiera para la creación del consorcio.;R4;A;D-3038-12
P0017;Cerro Matoso;AGM;Y;Y;N;N;N;N;N;Prestación de servicios de ingeniería, en consorcio con empresa.;2012-01-18 12:00:00;A;8;100;N;0000-00-00 00:00:00;2012-01-20 12:00:00;Solo se envión información de personal y financiera para la creación del consorcio.;;A;
P0018;Ingeniería de Vías;FAP;N;Y;N;N;N;N;N;Zaranda 5' x 16' x 3 deck;2012-01-19 12:00:00;B;2;10;N;0000-00-00 00:00:00;2012-01-21 12:00:00;Se transfiere el caso al gestor comercial;;C;
P0019;Brinza S.A.;AGM;N;Y;Y;Y;N;N;N;Equipos en acero inoxidable, Zaranda 3' x 6' x 2 deck, tornillo transportador 2 TPH x 2 m, tornillo transportador 2 TPH x 6 m.;2012-01-20 12:00:00;M;6;100;N;0000-00-00 00:00:00;2012-01-31 12:00:00;;R1;A;D-3050-12
P0020;Industrias Protón;DSC;N;Y;N;Y;N;N;Y;--;2012-01-20 12:00:00;M;4;45;N;0000-00-00 00:00:00;2012-01-21 12:00:00;;;C;
P0021;Ingeniería de Vías;AGM;N;Y;N;N;N;N;N;Zaranda 4' x 14' horizontal y zaranda 5' x 16' horizontal;2012-01-23 12:00:00;M;3;100;N;0000-00-00 00:00:00;2012-01-23 12:00:00;;;A;D-3021-12
P0022;Denis Pedraza;AGM;N;Y;N;Y;N;N;N;Bujes bipartidos para centrador de tornillos en SAE-64;2012-01-25 12:00:00;B;2;100;N;0000-00-00 00:00:00;2012-01-30 12:00:00;;;A;D-3049-12
P0023;Ingeocc;FAP;N;Y;N;N;N;N;N;Mallas para noria;2012-01-30 12:00:00;M;3;100;N;0000-00-00 00:00:00;2012-02-03 12:00:00;El cliente desconoce las dimensiones exactas de las mallas, por lo tanto quedamos a espera de su respuesta en el tema.;;A;D-3061-12
P0024;Vulcatec;FAP;N;Y;N;N;N;N;N;Cauchos linatex de distintos espesores;2012-02-03 12:00:00;A;2;100;N;0000-00-00 00:00:00;2012-02-03 12:00:00;;;A;D-3058-12
P0025;Codecam;FAP;N;Y;Y;Y;N;N;N;Tornillo transportador horizontal de 1,5 m ;2012-02-03 12:00:00;B;4;100;N;0000-00-00 00:00:00;2012-02-04 12:00:00;;;A;D-3068-12
P0026;CNR;AGM;Y;Y;N;N;N;N;N;Repuestos para equipo THOR;2012-02-03 12:00:00;MA;2;100;N;0000-00-00 00:00:00;2012-02-03 12:00:00;;;A;
P0027;Cemex;FAP;Y;Y;N;Y;Y;N;N;Banda transportadora con puente con doble pasarela;2012-02-04 12:00:00;MA;7;100;Y;2012-03-05 12:00:00;2012-03-03 12:00:00;Se ha usado un factor de servicio de 1,5 para el calculo del peso de la estructura. Finalmente se ha enviado la versión final a Fredy para su revisión y envió.;R2;A;
P0028;Israel Navarro;DSC;N;Y;Y;Y;Y;N;N;Elevadores de cangilones para proyecto de Nicaragua.;2012-02-04 12:00:00;M;5;15;N;0000-00-00 00:00:00;2012-02-06 12:00:00;Se le solicitó al cliente completar la información de dicho proyecto, sin obtener respuesta alguna.;;C;
P0029;--;FAP;N;Y;Y;Y;N;N;N;Banda transportadora 40 m;2012-02-06 12:00:00;M;4;100;N;0000-00-00 00:00:00;2012-02-21 12:00:00;;;A;D-4532-12
P0030;Calderas ITC;FAP;N;Y;N;Y;N;N;N;Stacker para tornillo transportador Ø 5" de dimensiones especificadas en plano.";2012-02-04 12:00:00;M;3;100;N;0000-00-00 00:00:00;2012-02-07 12:00:00;Se realiza actualización de la cotización para fines de compra.;;A;D-3069-12
P0031;Coposa;DSC;N;Y;N;Y;N;N;N;Distintos tornillos transportadores de acuerdo a especificaciones de clientes.;2012-02-10 12:00:00;B;3;10;N;2012-03-12 12:00:00;2012-02-12 12:00:00;La información suministrada por el cliente es confusa e incompleta.;;C;
P0032;Inversiones Huza;FAP;N;Y;N;N;N;N;N;Componentes para banda transportadora;2012-02-15 12:00:00;B;2;10;N;0000-00-00 00:00:00;2012-02-17 12:00:00;La solicitud de cotización correspondía a un proyecto manejado directamente con el cliente.;;C;
P0033;Tecnintegral;DSC;N;Y;N;Y;N;N;N;Cotizar de acuerdo a planos suministrados el valor por tramo para distintos tipos de tornillos;2012-02-18 12:00:00;MA;6;50;Y;2012-02-22 12:00:00;2012-02-22 12:00:00;Solo fue posible cotizar los tipos estándar debido a que los planos debían ser entregados en la fecha limite.;R2;A;
P0034;Jorge Bernal;AGM;N;Y;N;Y;N;N;N;Banda transportadora horizontal de 24" x 18 m, banda horizontal de 36" x 12 m";2012-02-20 12:00:00;A;4;100;N;0000-00-00 00:00:00;2012-02-21 12:00:00;;;A;
P0035;Infatel;AGM;N;Y;N;Y;N;N;N;Tornillo con D = 400 mm, Tipo = canoa, L = 2 m";2012-02-24 12:00:00;M;3;25;N;0000-00-00 00:00:00;2012-02-26 12:00:00;Superamos el tiempo limite para entrega de cotización.;;C;
P0036;Pulverizado Manizales;FAP;N;Y;N;Y;N;N;N;Tornillo con L = 2 m, Q = 50 kg-min, densidad = 2.6 kg-dm³";2012-02-28 12:00:00;M;3;20;N;0000-00-00 00:00:00;2012-03-03 12:00:00;;;C;
P0037;Cooper Crouse-Hinds;DSC;N;Y;N;Y;Y;Y;Y;2 Tornillos transportadores, 2 bandas subterráneas, 1 elevador de cangilones. Para circuito cerrado de 2,5 T-h;2012-02-29 12:00:00;A;6;40;N;2012-03-08 12:00:00;2012-03-03 12:00:00;Los dos tornillos transportadores son reemplazados por un elevador de cangilones y una compuerta neumática de alimentación. El cliente no respondió a las inquietudes respecto a la distribución de la planta.";;C;
P0038;Canal de Panamá;FAP;N;Y;N;Y;Y;N;N;2 tambores secadores de acuerdo a especificaciones del manual.;2012-03-02 12:00:00;A;10;100;N;2012-04-09 12:00:00;2012-04-10 12:00:00;Tener muy en cuenta que el material a manejar es caliente, por lo tanto, no puede girar sobre ruedas, debe estar sobre laminas roladas.;R3;A;
P0039;Central de Combustibles;FAP;N;Y;N;Y;Y;N;Y;3 bandas transportadoras con longitud de 15 m y ?H 6 m ó Una sola banda con cambios de material.;2012-03-02 12:00:00;M;5;100;N;0000-00-00 00:00:00;2012-03-14 12:00:00;A espera de confirmación de datos de operación por parte del cliente. Es necesario cotizar el montaje y dar un listado de precios al cliente";;A;D-4000-12
P0040;Tecnopotencia;DSC;N;N;Y;N;N;N;N;Calculo de potencias para banda transportadora.;2012-03-12 12:00:00;B;4;100;N;2012-03-12 12:00:00;2012-03-12 12:00:00;;;A;
P0041;Cerrejón;AGM;Y;Y;N;N;Y;N;N;Segunda etapa del proceso de licitación.;2012-03-12 12:00:00;MA;9;100;Y;2012-03-15 12:00:00;2012-03-15 12:00:00;Responder todas las preguntas asociadas al tema.;;A;
P0042;Bulktrading;AGM;N;Y;Y;Y;N;N;N;Tolva con capacidad de 2 a 3 m³. Q de 20 TPH y tamaño de grano 14" de entrada salida 2";2012-03-12 12:00:00;M;5;45;N;2012-03-12 12:00:00;2012-03-15 12:00:00;Pedir información a fredy referente a los trituradores;;C;
P0043;Industrias Protón;DSC;N;Y;Y;Y;Y;N;N;Tornillo transportador Q 500 kg-h, 1,7 m. Banda transportadora 13 m, 800 mm, Q 2 tph.";2012-03-10 12:00:00;B;4;100;N;2012-03-14 12:00:00;2012-03-16 12:00:00;;;A;
P0044;Colceramica;DSC;N;Y;Y;Y;Y;N;N;Doble mesa vertical con doble rodillo, retráctil para facilitar ;2012-03-17 12:00:00;A;6;100;N;2012-03-21 12:00:00;2012-03-26 12:00:00;Ya existen antecedentes de cotización, para CAV se cotizó algo similar. Se realizan planos de prediseño y cotización";;A;D-3193-12
P0045;Provias;FAP;N;Y;N;Y;N;N;N;Pantallas de impacto para Molino impactor MIS-40. Pantallas antidesgaste laterales y sistemas tensores.";2012-03-17 12:00:00;MA;7;100;N;2012-03-21 12:00:00;2012-03-21 12:00:00;Se cotizará teniendo en cuenta información de ventas anteriores. Además de los planos para las pantallas de impacto. Se agrega el requerimiento de las pantallas laterales antidesgaste y los sistemas tensores. El cliente es referenciado como Napoleón Gutiérrez";R2;A;D-3176-12
P0046;Sicmec Ltda;FAP;N;Y;N;Y;N;N;N;Precios de rodilleria y tambores de cabeza;2012-03-21 12:00:00;M;4;100;Y;2012-03-21 12:00:00;2012-03-21 12:00:00;Todos los precios deben ser nacionales;R2;A;
P0047;Agregados;DSC;N;N;Y;N;N;N;N;Calculo y comparación de capacidades para bandas transportadora de 24" y 18" con longitud de 11 m";2012-03-14 12:00:00;M;4;100;N;2012-03-14 12:00:00;2012-03-14 12:00:00;Se envía la comparación para sustentar la selección del equipo de 24". Se agrega solicitud de precios de motores de 5HP";;A;
P0048;Universidad Nacional;DSC;N;Y;N;Y;Y;N;N;Quemador para secador solar;2012-03-21 12:00:00;B;5;10;N;2012-03-23 12:00:00;2012-03-23 12:00:00;Tener en cuenta la cotización anterior para U.N y aumentar los precios. El cliente no tiene clara la compra del equipo y por tal motivo se cancela.";;C;
P0049;Carbosocha;DSC;N;N;Y;N;N;N;N;Calculo para banda de 24" x 160 m x 0° Y Banda 24" x 10 m x 0° Ambas con capacidad de 50 TPH";2012-03-22 12:00:00;B;4;100;N;2012-03-23 12:00:00;2012-03-26 12:00:00;;;A;
P0050;Cerrejón;AGM;Y;Y;N;N;Y;N;N;Tercera etapa de aclaraciones en el proceso de mantenimiento de componentes de banda;2012-03-24 12:00:00;MA;7;100;Y;2012-03-28 12:00:00;2012-03-28 12:00:00;Responder a las inquietudes presentadas por el Cerrejón;;A;
P0051;Vulcatec;DSC;N;Y;N;Y;N;N;N;Cotización de banda transportadora 24" x 10 m x 0°. Rodillos CEMA C 5" @ 35°, tambores de cabeza y cola 12";2012-03-27 12:00:00;M;3;100;N;2012-03-28 12:00:00;2012-03-29 12:00:00;No se solicita cotizar potencia ni soportes para la banda;;A;
P0052;Smart Concrete;DSC;N;Y;Y;Y;N;N;N;Banda para agregados, 190 tph con altura de salida de 4 m y angulo max de 17°;2012-03-29 12:00:00;M;5;100;N;2012-03-30 12:00:00;2012-03-30 12:00:00;;;A;
P0053;-;DSC;N;Y;N;Y;N;N;N;Rodillos de carga, impacto y retorno de 4 1-2" para banda de 24" @ 35°, con puntas estandar ";2012-04-04 12:00:00;M;4;100;N;0000-00-00 00:00:00;2012-04-09 12:00:00;;;A;
P0054;Dismet S.A.S.;JSE;N;N;Y;N;N;N;N;Crear con ayuda del ingeniero Ronald y Mauricio Silva, los parametros generales de creación de materiales para el ERP;2012-04-04 12:00:00;A;10;100;N;0000-00-00 00:00:00;2012-05-18 12:00:00;Se hace la entrega de todos los datos referentes al listado maestro de materiales, y concernientes al alcance del departamento de presupuestos.;;A;
P0055;CANAC Ltda;DSC;N;Y;N;Y;N;N;N;Componentes para banda transportadora de 20" Estación de carga, retorno e impacto de 3 1-2" x 23" con eje de 20 mm.";2012-04-09 12:00:00;A;4;100;N;2012-04-11 12:00:00;2012-04-11 12:00:00;No disponemos de componenetes para banda transportadora de 20";;A;
P0056;Mancofer;WAV;N;Y;N;N;N;N;N;Rodillo de impacto de 7" x 4 1-2" con eje de 11" x 1-2" Rodillo de retorno 56 cm x 4 1-2" con eje 20 mm x 64 cm";2012-04-12 12:00:00;M;3;100;N;0000-00-00 00:00:00;2012-04-26 12:00:00;;;A;D-3240-12
P0057;Agrecar;FAP;N;Y;N;Y;N;N;N;Estaciones triples de carga para bandas de 30", 24" y 20" @ 35°";2012-04-16 12:00:00;A;3;100;N;2012-04-16 12:00:00;2012-04-16 12:00:00;;;A;D-3222-12
P0058;Agregados Nacionales;FAP;N;Y;N;Y;N;N;N;Estaciones de carga 4 1-2" x 290 x 330 (Cant. 60) y estaciones de retorno 4 1-2" x 860 x 1200 (Cant. 12)";2012-04-17 12:00:00;A;3;100;N;2012-04-17 12:00:00;2012-04-17 12:00:00;;;A;
P0059;Ingeacabados;WAV;N;Y;Y;Y;N;N;N;Banda transportadora de 24" x 7.2 m @ 0°,banda de 390mm x 5 m @ 2,4 m (descarga) y banda de 710 mm x 5.5 m @ 1.4 m";2012-04-17 12:00:00;M;6;10;N;2012-04-18 12:00:00;2012-04-18 12:00:00;Esperar confirmación por Fredi para cotizar, el cliente es de medellin.;;A;
P0060;Eduardo Zuñiga;FAP;Y;N;N;N;N;N;N;creación de OT para 2 tornillos sin fin iguales a los referenciados en la OT-1447;2012-04-19 12:00:00;A;2;100;Y;2012-04-19 12:00:00;2012-04-19 12:00:00;Se debe enviar la factura al correo  facesas.zs@gmail.com Ant. Florinda;;A;D-3224-12
P0061;John Ripper;DSC;N;Y;N;Y;N;N;N;Tornillo transportador de 12" x 1200 mm paso de 10" y punta de eje de potencia de 1 1-2";2012-04-19 12:00:00;A;3;10;N;2012-04-20 12:00:00;2012-04-22 12:00:00;Se vence el tiempo de cotización.;;C;
P0062;Industrias Metalmecanicas Jose A. Molano;JSE;N;Y;Y;Y;N;N;N;Cama de rodillos de 38 cm de ancho x 80 cm de largo para manejo de bandejas de 13 kg;2012-04-19 12:00:00;A;4;10;Y;2012-04-20 12:00:00;2012-04-22 12:00:00;Enviar cotización al correo imjosemolano@yahoo.es El tipo de aplicación no es pertinente al foco de negocio de Dismet S.A.S.";;C;
P0063;Cliensa;FAP;N;Y;N;Y;N;N;N;Rodillos de acuerdo a lo solicitado por el cliente: 10 limpiantes de retorno, 24 de carga, 33 de impacto, 30 de retorno y 17 estaciones para banda de 24". 8 lipiantes de retorno, 18 de carga, 12 de impacto, 9 de retorno para banda de 30.";2012-04-20 12:00:00;A;5;100;N;2012-04-21 12:00:00;2012-04-21 12:00:00;;;A;
P0064;Agrecar;FAP;N;Y;Y;Y;N;N;N;Bandas transportadoras de acuerdo a especificaciones: 30" x 25 m, 30" x 23 m, 24" x 18 m, 24" x 12 m, 24" x 15 m, 24" x 45 m";2012-04-23 12:00:00;MA;7;10;N;2012-04-24 12:00:00;2012-04-25 12:00:00;El proceso es tomado por Fredy en vista de mi ausencia.;;C;
P0065;Fiberglass;DSC;N;Y;N;Y;N;N;N;Rodillos de carga 3" x 170 mm x 220 mm - Cant. 20. Rodillos de retorno 3" x 570 mm x 650 mm - Cant. ";2012-04-23 12:00:00;A;3;100;N;2012-04-23 12:00:00;2012-04-23 12:00:00;;;A;
P0066;Carboquimica;AGM;N;Y;N;Y;N;N;N;Elevador de cangilones en acero inoxidable, ramba de acceso y tolva de alimentación;2012-04-26 12:00:00;MA;6;100;N;2012-04-26 12:00:00;2012-04-26 12:00:00;;;A;D-3244-12
P0067;LHS;FAP;N;Y;N;Y;N;N;N;Rodillo de retorno 4 1-2" x 850 x 890 mm, con cuadrante de 1-2";2012-04-27 12:00:00;MA;2;100;N;2012-04-27 12:00:00;2012-04-27 12:00:00;;;A;D-3248-12
