Id_referencia;equipo
P0001;E010
P0002;E010
P0002;E026
P0003;E031
P0004;E010
P0005;E010
P0006;E003
P0007;E008
P0008;E003
P0009;E008
P0010;E003
P0011;E003
P0012;E003
P0012;E030
P0013;E008
P0014;E014
P0015;E017
P0016;E014
P0017;E014
P0018;E033
P0019;E031
P0019;E033
P0020;E010
P0020;E031
P0021;E033
P0022;E004
P0023;E015
P0024;E005
P0025;E031
P0026;E014
P0027;E003
P0028;E010
P0029;E003
P0030;E031
P0031;E031
P0032;E008
P0033;E031
P0034;E003
P0035;E031
P0036;E031
P0037;E003
P0037;E010
P0037;E031
P0038;E027
P0039;E003
P0040;E003
P0041;E003
P0042;E003
P0042;E032
P0042;E030
P0043;E003
P0043;E031
P0044;E017
P0045;E021
P0046;E008
P0047;E003
P0048;E014
P0049;E003
P0050;E014
P0051;E003
P0052;E003
P0053;E008
P0054;E014
P0055;E008
P0056;E008
P0057;E008
P0058;E008
P0059;E003
P0060;E031
P0061;E031
P0062;E017
P0063;E008
P0064;E003
P0065;E008
P0066;E010
P0067;E008
P0068;E003
P0068;E010
P0069;E008
P0070;E008
P0071;E031
P0072;E031
P0073;E003
P0073;E010
P0074;E017
P0075;E031
P0076;E003
P0076;E010
P0076;E031
P0077;E014
P0078;E014
P0079;E008
P0080;E008
P0081;E031
P0082;E008
P0083;E008
P0083;E033
P0084;E003
P0085;E033
P0086;E031
P0087;E031
P0088;E008
P0089;E003
P0090;E008
P0091;E003
P0092;E003
P0093;E008
P0094;E008
P0095;E010
P0096;E008
P0097;E031
P0098;E003
P0099;E034
P0100;E008
P0101;E016
P0102;E007
P0103;E003
P0104;E003
P0105;E010
P0106;E027
P0107;E008
P0108;E031
P0109;E003
P0110;E007
P0111;E008
P0112;E008
P0113;E008
P0114;E014
P0115;E031
P0116;E014
P0117;E031
P0118;E008
P0119;E010
P0120;E003
P0121;E014
P0122;E017
P0123;E008
P0124;E031
P0125;E014
P0126;E024
P0127;E008
P0128;E030
P0129;E008
P0130;E003
P0131;E014
P0132;E003
